W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
6.543u,241.621n,14.353u,370.708n,12.225u,268.924n,128.548u,321.496n,97.953u,410.602n,14.192u,1.956p,82.269506869,90.085799429,129569.964797,38.6900251429,0.0
6.665u,299.147n,18.855u,322.295n,19.444u,292.231n,259.255u,383.873n,124.979u,201.993n,21.739u,2.395p,77.4808186308,90.3261091787,74826.7908647,39.0003081815,0.0
20.526u,382.520n,21.018u,350.503n,12.936u,293.958n,206.730u,231.340n,26.842u,370.334n,15.607u,1.822p,68.4342442915,95.9795449199,26553.5902218,39.032652493,0.0
2.271u,434.648n,26.526u,187.593n,10.842u,429.032n,153.146u,360.052n,98.318u,344.140n,25.133u,1.632p,70.1804797345,92.8143209551,32325.3894115,39.0372298449,0.0
20.139u,212.721n,13.017u,269.511n,13.005u,511.891n,207.764u,448.318n,149.420u,340.525n,14.473u,1.580p,82.257617308,92.6639794357,129786.95003,38.9224309655,0.0
7.282u,361.019n,12.978u,387.147n,10.733u,244.465n,43.315u,421.704n,78.092u,241.072n,20.968u,2.263p,69.2314827666,90.6254436423,28947.0178707,39.0164009534,0.0
17.077u,253.522n,21.924u,511.233n,21.004u,347.402n,104.490u,256.543n,39.528u,355.358n,28.726u,0.646p,86.4655915897,92.2086236627,209868.605058,38.5674218762,0.0
8.381u,377.867n,18.436u,393.712n,2.984u,469.463n,201.255u,338.095n,79.082u,252.923n,22.063u,2.938p,71.4064762792,91.6791221944,37197.8026474,39.0582308096,0.0
15.932u,349.535n,25.543u,393.815n,20.747u,394.298n,113.882u,404.596n,148.148u,331.203n,23.956u,1.749p,78.6121466525,92.1102124632,85273.1385358,38.9543364148,0.0
2.943u,356.661n,26.937u,289.807n,10.080u,513.127n,233.397u,336.937n,121.345u,474.432n,19.841u,1.970p,73.4008236522,97.4989057692,47184.7369533,39.0240969384,0.0
9.102u,423.870n,23.334u,201.847n,15.098u,444.412n,192.863u,218.757n,130.322u,246.459n,10.064u,0.609p,83.1032364791,101.04985222,145578.467018,38.8960691728,0.0
2.555u,213.581n,6.105u,278.943n,4.316u,451.211n,226.743u,366.677n,21.738u,409.108n,25.514u,1.781p,69.7803639085,92.6106075123,30865.3882722,39.0460379781,0.0
7.711u,186.183n,23.061u,437.142n,5.519u,270.194n,337.947u,446.536n,39.266u,309.570n,29.899u,1.564p,86.1458505097,90.427319188,202681.172974,38.7972187749,0.0
