W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
6.007u,318.884n,18.322u,389.309n,13.810u,460.111n,336.806u,226.289n,86.856u,489.979n,21.901u,2.348p,68.1769910744,93.0692942116,25673.3034898,39.0630825829,0.0
14.541u,318.769n,23.095u,517.660n,6.756u,202.418n,116.013u,432.270n,67.650u,280.543n,11.388u,1.876p,78.2182279321,91.779798774,81432.0511781,38.8533656194,0.0
22.264u,467.094n,14.623u,487.131n,14.526u,368.252n,324.358u,222.980n,118.031u,504.717n,13.192u,0.618p,77.2846550574,104.801189621,75663.2266645,39.0209886152,0.0
14.289u,493.819n,4.964u,354.954n,18.554u,319.887n,236.714u,404.646n,69.245u,514.871n,19.436u,0.647p,69.4245009636,96.22426897,29774.1428829,39.0476339525,0.0
19.982u,418.052n,5.892u,321.773n,19.291u,254.540n,33.052u,221.058n,31.289u,383.067n,11.516u,0.451p,7.88261854965,179.985735286,95040.8684187,40.6179178078,0.0
22.402u,281.683n,16.391u,502.806n,13.575u,297.557n,188.061u,216.709n,125.036u,457.772n,11.364u,0.744p,83.4327061413,91.8196357718,148431.061807,38.8503196344,0.0
19.182u,276.695n,23.256u,246.714n,18.938u,507.606n,259.165u,413.997n,99.180u,281.117n,23.773u,2.045p,82.9137596602,90.4514284418,139814.171116,38.9050158182,0.0
4.732u,222.187n,25.051u,208.624n,3.248u,305.529n,210.136u,446.867n,21.100u,266.151n,20.390u,1.000p,84.8661844636,94.8349932829,175260.652509,38.65184043,0.0
6.037u,311.856n,18.369u,470.794n,20.856u,398.199n,102.247u,288.040n,111.714u,303.759n,16.062u,1.480p,79.7253075674,90.5284842999,96847.0128364,38.8891540824,0.0
18.570u,500.500n,26.987u,320.261n,16.579u,235.530n,196.156u,449.723n,110.074u,427.951n,23.662u,2.305p,81.7680914374,90.2614887122,122435.972476,38.7951677663,0.0
16.506u,376.818n,24.060u,222.201n,5.479u,301.494n,203.247u,357.195n,124.434u,279.956n,19.909u,0.536p,86.5839613104,105.142729061,220964.841062,38.8805481992,0.0
10.156u,382.980n,26.391u,292.287n,11.599u,471.255n,56.392u,486.863n,103.349u,454.893n,19.339u,1.762p,69.5037141418,90.8688014545,29871.569924,39.0062292574,0.0
21.036u,220.044n,7.875u,302.996n,14.462u,188.644n,299.003u,223.252n,15.457u,301.296n,12.276u,1.696p,9.39157833755,179.550462442,3536.87195278,40.8085630352,0.0
22.351u,504.260n,16.426u,219.314n,7.863u,245.603n,45.565u,224.883n,54.297u,345.940n,24.200u,1.383p,82.8574284256,90.7758554921,138641.942281,38.6776634543,0.0
17.145u,374.018n,6.136u,180.681n,2.387u,367.156n,71.546u,377.377n,15.440u,310.325n,21.488u,1.276p,86.398400553,90.5763012246,207548.660456,38.4106792057,0.0
17.603u,305.692n,17.568u,200.114n,14.275u,302.607n,213.534u,276.246n,95.298u,445.494n,26.824u,2.238p,87.2006145751,90.0680128191,228572.67464,38.6862842465,0.0
11.085u,323.277n,20.941u,327.715n,10.497u,344.752n,255.997u,415.100n,78.678u,411.776n,22.815u,1.601p,85.6004382918,90.2664145136,190270.187021,38.765597554,0.0
16.016u,361.554n,23.365u,248.071n,18.262u,261.134n,147.832u,362.871n,32.646u,236.877n,15.593u,1.078p,87.7343593425,90.5065578606,238811.034767,37.8841365833,0.0
12.339u,378.407n,18.752u,346.346n,16.007u,282.612n,261.912u,518.085n,14.966u,487.756n,12.843u,0.988p,64.8022051853,95.4117863289,17460.9251505,39.020650942,0.0
7.213u,291.724n,27.609u,242.009n,8.105u,487.733n,190.271u,256.919n,136.644u,439.143n,18.034u,2.473p,74.0236906152,92.9289370558,50322.7193841,39.0264661943,0.0
13.135u,407.420n,26.985u,213.323n,14.056u,344.811n,147.765u,227.427n,99.155u,226.631n,16.499u,1.963p,76.6229794439,93.3213400199,67897.6366764,38.9887060929,0.0
23.296u,312.216n,13.231u,366.982n,10.417u,473.083n,249.720u,441.598n,91.859u,341.558n,18.237u,1.270p,88.7175167174,91.7334947303,272443.851596,38.7238793581,0.0
15.208u,221.626n,25.555u,289.004n,12.894u,408.723n,356.418u,483.606n,51.187u,318.225n,23.422u,2.922p,84.0811509809,90.1129858925,159809.304356,38.8028994978,0.0
11.386u,512.452n,6.225u,293.397n,22.724u,251.535n,314.666u,448.650n,55.171u,430.193n,29.084u,1.430p,60.8966239114,93.8830882515,11114.3631905,39.0712404242,0.0
3.130u,191.222n,12.144u,356.666n,23.442u,323.972n,195.276u,299.433n,21.168u,338.908n,17.537u,1.963p,55.0524615647,94.0207725682,5672.13721987,39.0721107204,0.0
4.503u,268.457n,13.350u,462.123n,4.783u,481.540n,51.351u,509.045n,78.129u,193.421n,22.945u,1.843p,63.2181079045,92.9389650571,14504.5831341,39.0707286587,0.0
16.660u,208.246n,14.059u,272.881n,12.855u,346.899n,69.608u,273.444n,18.554u,429.995n,16.231u,1.214p,81.2381789189,91.093132821,114622.181926,38.41114244,0.0
6.083u,309.618n,8.658u,241.836n,2.176u,474.612n,346.663u,339.104n,68.887u,488.706n,23.846u,2.926p,77.5337957046,90.1776583917,75287.8645646,39.0325329879,0.0
22.324u,303.387n,16.359u,483.535n,14.753u,378.037n,145.994u,192.612n,143.981u,306.358n,10.155u,0.829p,91.7308133317,91.5245288882,383959.875781,38.4690420876,0.0
17.005u,332.298n,15.410u,487.112n,16.712u,245.050n,324.928u,227.564n,68.744u,334.476n,10.372u,1.040p,66.7582781789,93.3614965379,21811.4911971,39.0611257541,0.0
23.105u,364.285n,21.620u,310.044n,11.873u,428.036n,348.327u,329.971n,59.773u,272.174n,24.141u,0.455p,100.929750775,93.57233087,1088256.71117,37.7634887716,0.0
10.650u,466.989n,15.490u,333.509n,9.334u,253.809n,128.524u,400.598n,90.293u,339.262n,29.909u,1.663p,81.1560991394,93.5553064317,114406.46375,38.900523079,0.0
2.248u,424.009n,8.569u,236.076n,9.150u,226.519n,113.127u,318.106n,88.314u,456.185n,15.420u,1.238p,78.9542740927,90.3626094593,88541.1618447,38.7787719594,0.0
9.834u,502.087n,14.445u,285.119n,4.264u,425.535n,181.279u,400.596n,23.657u,326.583n,29.542u,1.689p,83.7619963534,90.2583579737,154047.197,38.8115391049,0.0
18.303u,293.127n,9.921u,516.599n,22.085u,515.364n,63.462u,503.193n,53.867u,510.447n,25.600u,1.810p,83.9292674054,90.5032602124,155483.961377,38.1865817984,0.0
17.258u,416.056n,17.365u,442.282n,7.038u,394.030n,95.591u,516.294n,81.685u,434.388n,10.335u,0.579p,84.8151614732,100.420059469,176302.044615,38.5611687147,0.0
4.408u,462.973n,20.113u,395.673n,19.833u,321.321n,103.428u,288.046n,95.597u,392.976n,17.302u,1.449p,79.8680424815,90.2755249917,98373.553236,38.7899268927,0.0
5.721u,393.048n,14.817u,272.724n,14.828u,397.822n,324.111u,333.410n,86.711u,197.673n,15.199u,1.895p,78.1776425016,91.9982105398,81116.4612965,38.993091577,0.0
10.405u,321.509n,13.493u,496.107n,19.440u,226.983n,38.923u,419.867n,30.474u,194.822n,20.883u,2.438p,81.0329672697,90.1922664697,111506.336273,38.2325056827,0.0
12.722u,459.051n,12.992u,351.551n,18.754u,300.812n,78.867u,401.431n,65.296u,228.427n,15.213u,1.162p,81.8742864537,90.7954451902,123822.232969,38.6913400466,0.0
20.063u,260.951n,17.560u,343.115n,23.625u,450.911n,207.886u,201.842n,122.293u,203.480n,17.450u,2.086p,85.7728967218,90.8288706454,194290.008904,38.8821746947,0.0
3.343u,212.586n,21.433u,487.742n,18.987u,400.176n,239.477u,432.154n,43.928u,348.646n,29.042u,0.556p,82.3247698922,93.0126765545,130776.840259,38.8511398453,0.0
21.781u,302.925n,24.871u,279.520n,4.815u,327.835n,229.887u,195.594n,138.149u,491.833n,29.635u,2.056p,85.6085209603,93.2600873101,190998.222065,38.9485919977,0.0
15.188u,374.199n,17.779u,383.658n,19.505u,424.184n,237.360u,186.715n,47.590u,185.520n,28.422u,2.176p,74.1475820009,93.0596890927,51053.3524485,39.0411907529,0.0
3.579u,355.361n,5.384u,457.489n,2.346u,210.267n,280.582u,357.226n,108.748u,196.081n,17.377u,2.582p,73.24181547,90.4729174511,45934.6188334,39.060316772,0.0
8.311u,366.163n,5.828u,456.172n,2.287u,368.965n,67.817u,334.350n,128.192u,295.640n,15.966u,1.056p,74.054229274,91.4957504338,50454.3330612,39.0489996072,0.0
8.660u,496.179n,6.577u,498.323n,18.681u,289.004n,335.275u,250.262n,125.769u,309.421n,25.598u,0.711p,68.6461101457,92.3994902942,27085.1382262,39.07239709,0.0
9.429u,509.620n,21.464u,512.621n,16.055u,353.665n,147.880u,276.530n,25.303u,426.370n,16.306u,1.268p,66.447781516,94.1338382153,21064.7500198,39.0300824559,0.0
23.141u,472.403n,17.908u,422.768n,23.271u,327.916n,338.645u,402.218n,91.938u,182.171n,13.159u,1.227p,82.7402075182,93.4204279223,137234.283953,38.8486689944,0.0
3.012u,278.820n,19.017u,375.904n,5.759u,206.879n,125.056u,417.950n,96.822u,339.528n,23.963u,1.326p,76.6538234895,94.1271505286,68202.4254896,38.9792805066,0.0
19.370u,343.375n,8.886u,467.268n,3.085u,491.869n,41.083u,402.874n,121.014u,499.629n,29.254u,0.737p,81.4412823642,92.1010135079,118116.98853,38.9695534693,0.0
23.807u,233.566n,10.845u,497.537n,7.936u,266.092n,201.451u,431.156n,140.924u,397.817n,23.649u,1.741p,89.8844171986,90.233132811,311327.688162,38.6813258001,0.0
5.711u,261.819n,23.830u,497.421n,19.969u,246.090n,345.008u,356.759n,99.599u,517.720n,14.313u,0.988p,70.0359082763,95.4366300268,31900.1047837,39.0342939024,0.0
17.090u,435.836n,19.667u,288.648n,5.038u,289.431n,88.304u,322.240n,25.216u,477.026n,23.280u,1.005p,90.257825815,90.4334755268,318670.968225,37.82283609,0.0
10.690u,394.211n,15.008u,478.565n,10.908u,248.722n,140.275u,240.747n,29.879u,476.996n,19.160u,1.276p,66.1759515945,91.3146838154,20366.9442795,39.0445445965,0.0
14.169u,186.761n,21.329u,293.342n,7.615u,244.568n,247.935u,435.588n,77.925u,459.517n,16.021u,1.369p,88.628995,92.0957716287,268756.244337,38.4727199856,0.0
16.888u,395.046n,8.430u,310.319n,22.953u,273.765n,294.609u,498.455n,133.144u,379.933n,22.352u,2.466p,71.6896316795,90.5802110971,38418.3895732,39.0226042316,0.0
2.681u,408.267n,3.704u,265.978n,22.366u,323.419n,203.040u,210.213n,80.848u,381.572n,21.778u,1.306p,55.3920838199,92.950202701,5890.93490596,39.0804489662,0.0
19.018u,514.195n,14.754u,301.906n,10.090u,492.453n,200.069u,478.963n,92.358u,222.406n,13.171u,0.843p,82.0907374968,91.4274409074,127220.453725,38.9239854158,0.0
18.232u,381.458n,24.752u,439.971n,22.680u,505.039n,337.761u,188.090n,42.139u,456.815n,16.749u,2.614p,60.1447536096,93.4558510867,10187.4152153,39.0739012478,0.0
9.494u,230.580n,26.197u,421.228n,6.185u,183.462n,291.566u,256.908n,71.499u,455.389n,28.317u,2.553p,75.1385636399,92.0597317099,57178.3361305,39.0217273571,0.0
3.523u,395.185n,16.304u,223.293n,5.804u,247.043n,48.436u,452.626n,129.969u,400.407n,29.032u,2.606p,60.4145379575,93.8881413736,10513.7938304,39.067556188,0.0
11.132u,500.388n,13.430u,430.038n,6.694u,340.008n,251.984u,334.789n,46.071u,405.524n,15.934u,2.724p,68.7381904263,91.9393205118,27364.9148985,39.0413988536,0.0
3.413u,429.292n,12.466u,325.284n,16.983u,357.200n,177.847u,249.159n,128.909u,231.236n,18.287u,1.442p,78.2864639024,90.6326473714,82101.2325645,38.9933060914,0.0
5.904u,288.329n,20.993u,195.477n,17.444u,218.968n,139.864u,235.704n,74.966u,250.640n,26.632u,2.453p,79.5612601955,90.2222637069,95035.7633302,38.9015862253,0.0
11.021u,513.156n,27.482u,373.357n,4.504u,183.503n,167.353u,404.231n,101.682u,331.386n,17.422u,1.980p,74.565047191,92.2939807495,53528.3770824,39.0009376695,0.0
12.562u,234.866n,17.105u,194.157n,22.145u,487.589n,56.394u,437.515n,40.745u,451.227n,25.522u,2.350p,80.5145540031,96.2008396423,106185.596611,38.4707710442,0.0
21.898u,204.087n,4.230u,312.529n,12.669u,317.498n,61.812u,412.755n,45.213u,186.169n,19.877u,2.081p,87.0499074887,90.2514212219,223481.472325,38.3568427202,0.0
23.764u,273.166n,25.336u,187.916n,22.091u,186.355n,139.048u,470.394n,61.181u,298.974n,22.121u,2.145p,85.013487867,94.1980962454,177165.605079,38.3273240725,0.0
13.452u,184.282n,20.291u,459.969n,18.684u,324.372n,241.372u,364.352n,90.635u,249.005n,11.282u,2.850p,78.7047182993,90.6574328254,86107.2571178,38.8732707892,0.0
14.043u,391.402n,24.136u,384.645n,22.416u,362.772n,144.009u,508.077n,108.051u,204.535n,16.279u,1.741p,75.584971949,93.7530030896,60271.8253074,38.9797151369,0.0
11.840u,493.234n,18.830u,381.625n,7.245u,360.220n,97.067u,398.995n,48.581u,393.904n,12.225u,0.544p,87.5983835985,91.5614872966,237393.957143,38.2262753098,0.0
15.028u,372.493n,18.571u,259.972n,9.146u,363.131n,144.784u,222.242n,45.880u,519.760n,18.128u,2.844p,76.9323961447,90.3089896745,70223.6226537,38.9077860344,0.0
23.106u,428.725n,23.301u,202.467n,7.914u,243.977n,316.367u,518.373n,22.380u,436.035n,25.075u,2.790p,76.6516129362,96.5364788404,68426.6034352,38.8818149141,0.0
6.524u,311.694n,18.590u,416.432n,10.666u,410.241n,241.032u,332.398n,34.494u,203.753n,26.253u,1.848p,80.0139604277,90.4394090133,100134.689954,38.9391159345,0.0
5.905u,430.549n,7.004u,196.930n,5.780u,474.202n,209.063u,191.375n,132.162u,320.039n,19.379u,2.202p,75.9715117161,91.6491933759,62917.4741929,39.0472783756,0.0
5.282u,428.451n,6.613u,279.202n,7.194u,357.024n,128.648u,219.150n,100.018u,509.827n,22.626u,2.029p,75.9754432544,90.8305079722,62920.3344257,38.996005739,0.0
18.751u,471.162n,13.682u,460.824n,9.330u,479.032n,147.059u,247.606n,117.292u,470.287n,25.315u,1.656p,86.1552445491,90.9623395168,203021.112707,38.8632819947,0.0
23.016u,230.670n,15.070u,217.578n,23.103u,243.841n,198.633u,413.136n,73.005u,354.742n,21.774u,2.347p,80.7988241606,92.914704498,109598.160426,38.7436646228,0.0
6.783u,218.346n,7.589u,216.375n,6.718u,299.941n,224.858u,236.809n,148.988u,413.662n,11.933u,0.961p,87.047315199,90.4003130838,224891.404421,38.8293112225,0.0
23.832u,322.717n,5.443u,198.600n,14.616u,285.070n,177.502u,238.707n,143.819u,422.751n,28.085u,0.602p,89.3889264762,106.343703471,306691.311799,38.7559253863,0.0
12.204u,242.161n,5.478u,210.831n,3.190u,490.879n,285.805u,189.428n,48.376u,203.219n,10.717u,0.993p,88.8453850821,90.8762048005,276768.607348,38.8962745521,0.0
3.964u,273.605n,11.406u,207.700n,20.389u,376.594n,42.033u,374.463n,132.733u,514.811n,28.735u,2.894p,68.2115102413,90.4684578661,25737.9778688,39.0143051652,0.0
14.681u,431.679n,13.278u,252.287n,13.015u,257.701n,191.293u,391.886n,136.120u,232.445n,26.724u,2.234p,78.2800100863,90.4678135508,82040.2320045,39.0021326739,0.0
10.390u,443.674n,9.158u,447.193n,22.422u,488.203n,103.995u,338.114n,127.656u,414.908n,18.381u,0.709p,88.9334262015,90.844741415,277280.718945,38.308565991,0.0
11.849u,486.794n,8.925u,324.839n,13.570u,332.872n,60.444u,447.882n,136.613u,456.274n,21.842u,1.384p,77.6456497938,94.2512463978,76445.3102158,38.917392884,0.0
8.244u,192.323n,15.253u,424.231n,16.464u,357.455n,126.505u,481.546n,104.906u,201.040n,24.334u,2.787p,74.6755885141,92.2056649529,54216.0813499,39.0151438687,0.0
3.279u,275.269n,3.666u,287.376n,21.784u,286.686n,251.528u,519.394n,85.879u,306.962n,13.845u,2.834p,56.3750669451,90.8436580642,6589.06640502,39.0720032224,0.0
8.527u,519.035n,8.022u,305.281n,17.619u,252.970n,328.514u,444.057n,108.677u,390.076n,11.973u,1.672p,65.2725187041,91.8475972841,18361.1861008,39.0532227198,0.0
15.135u,413.034n,10.179u,274.551n,3.912u,517.192n,50.065u,372.648n,60.848u,401.385n,26.793u,0.523p,85.7994199505,92.6872681341,194895.135243,38.7691591187,0.0
4.450u,472.089n,18.969u,465.299n,18.627u,434.710n,237.256u,321.089n,40.273u,299.523n,14.856u,2.314p,62.872803852,92.7430286184,13937.6636887,39.057792376,0.0
21.528u,518.443n,13.751u,377.845n,9.578u,372.324n,330.193u,490.893n,86.911u,509.993n,13.991u,0.730p,86.7713493432,97.4392726444,219320.31152,38.6605250379,0.0
10.569u,430.421n,15.233u,471.551n,11.306u,433.203n,341.473u,413.203n,17.748u,400.427n,25.810u,1.924p,62.1463667482,90.8826122937,12805.9882177,39.0676637911,0.0
4.724u,346.035n,14.465u,467.839n,17.226u,506.443n,35.429u,206.042n,141.063u,353.596n,22.939u,0.808p,78.4078846737,94.6895958087,83519.2297541,38.9631668717,0.0
9.301u,498.840n,22.290u,457.440n,2.455u,459.444n,124.796u,298.160n,110.493u,337.246n,29.160u,1.554p,74.0765340765,91.0089377529,50575.8358732,39.0542030017,0.0
10.434u,301.794n,18.853u,211.855n,5.647u,250.103n,57.692u,491.129n,111.591u,502.836n,27.747u,1.427p,73.8722533908,101.841047967,50458.537097,38.97831791,0.0
11.831u,278.689n,15.446u,247.789n,8.223u,372.955n,353.879u,392.770n,144.665u,518.718n,27.786u,0.887p,91.3427206928,97.1038734832,371318.212542,38.7510463904,0.0
13.082u,300.377n,5.812u,376.481n,5.477u,452.307n,213.495u,469.014n,70.515u,278.810n,10.634u,1.457p,83.0428867064,90.4065385657,141878.123744,38.881360708,0.0
15.068u,242.347n,4.642u,430.410n,7.515u,249.479n,84.842u,515.324n,138.856u,459.778n,20.179u,1.452p,85.9097987329,90.8967792757,197034.482876,38.6798048307,0.0
14.953u,205.066n,13.539u,416.167n,19.879u,230.120n,179.925u,296.592n,146.886u,417.894n,29.145u,2.491p,1.64757667753,179.989405441,37271.2149886,43.2419384709,0.0
10.230u,190.165n,21.295u,466.048n,4.299u,233.929n,206.675u,450.251n,136.743u,222.612n,26.617u,2.593p,74.8664962356,90.9957656452,55390.412665,39.0488651293,0.0
16.416u,228.121n,23.001u,337.501n,14.840u,382.035n,347.755u,283.544n,20.376u,360.371n,12.007u,2.871p,61.8023249928,90.5843590402,12306.6493538,39.0599736487,0.0
3.293u,264.429n,15.296u,446.344n,11.329u,189.684n,60.153u,443.614n,107.245u,436.882n,10.340u,1.997p,70.5600285739,92.0695873652,33741.6971962,38.9297039821,0.0
16.469u,491.065n,3.514u,493.628n,18.012u,194.575n,185.108u,292.690n,26.513u,506.490n,16.389u,1.577p,42.6129092914,91.3190222251,1351.37844399,39.0819962116,0.0
6.559u,423.631n,15.221u,294.654n,13.447u,443.597n,318.448u,372.951n,147.616u,501.496n,16.156u,2.456p,77.3370988406,90.4278157575,73595.5206499,38.9852367311,0.0
13.207u,424.612n,9.677u,334.128n,20.171u,233.147n,70.519u,344.070n,28.958u,517.323n,14.342u,1.361p,66.4990294834,95.0905756447,21214.318228,38.9536634494,0.0
13.296u,240.023n,14.902u,336.830n,17.805u,422.878n,244.304u,252.314n,86.347u,390.278n,14.041u,2.210p,74.0029284147,90.8726016182,50137.712755,39.0074750059,0.0
18.984u,190.706n,3.746u,333.691n,6.168u,409.332n,183.791u,312.198n,66.088u,290.267n,10.707u,1.480p,80.7945887077,91.8590886387,109599.12972,38.9291382567,0.0
17.119u,505.366n,3.399u,311.779n,15.761u,369.304n,74.220u,300.466n,40.437u,257.966n,21.606u,1.385p,73.8863580457,91.0821293446,49472.714438,38.9649486727,0.0
3.594u,358.243n,18.457u,439.934n,9.623u,513.571n,232.792u,359.210n,14.397u,269.350n,23.702u,1.726p,68.3509626149,92.3523737914,26178.2100709,39.039571038,0.0
7.778u,275.755n,15.420u,475.149n,8.525u,436.167n,195.417u,495.655n,63.485u,266.632n,15.703u,2.510p,76.5322439872,90.3182023441,67079.5295965,38.972590854,0.0
3.715u,488.267n,10.015u,478.693n,3.307u,233.295n,295.258u,252.422n,92.901u,296.570n,11.673u,2.782p,68.3483238487,90.3000986124,26149.426952,39.0603848725,0.0
4.281u,471.042n,22.330u,277.438n,3.929u,462.648n,279.466u,239.587n,124.524u,457.665n,25.934u,2.096p,74.8108829041,92.3841631661,55072.0540854,39.0493383996,0.0
12.819u,305.902n,11.052u,348.685n,8.004u,431.762n,131.409u,482.323n,87.528u,425.528n,12.108u,1.963p,77.8431769407,91.9011577038,78023.9602284,38.9040035258,0.0
3.243u,414.696n,21.890u,396.764n,9.671u,324.950n,144.623u,189.805n,91.462u,321.392n,19.964u,0.675p,85.623441876,90.7432960966,190912.993484,38.8448897457,0.0
10.390u,305.134n,17.087u,200.913n,3.862u,519.789n,213.489u,258.834n,79.405u,245.839n,11.343u,0.786p,82.1718659493,94.0655641285,128704.720968,38.961431977,0.0
23.445u,253.121n,5.022u,209.026n,15.454u,396.449n,178.829u,507.256n,139.761u,472.068n,23.954u,1.395p,92.2574155356,91.0230686117,406299.680405,38.2755084251,0.0
3.613u,468.419n,17.964u,331.969n,16.498u,238.569n,129.801u,432.039n,60.190u,312.820n,17.175u,2.444p,76.2002498534,90.027086808,64483.5149716,38.7877920249,0.0
3.872u,309.125n,19.849u,402.979n,21.523u,485.610n,190.201u,414.795n,41.543u,292.766n,18.078u,2.395p,71.9175869872,90.4258637225,39433.1281678,38.9678360068,0.0
8.288u,312.052n,27.852u,312.633n,6.296u,503.458n,270.320u,225.189n,36.644u,222.878n,17.389u,0.651p,90.7539931243,92.6900248913,344548.398667,38.7030471975,0.0
15.340u,356.856n,21.755u,334.658n,3.783u,249.586n,136.308u,376.503n,104.173u,224.817n,13.026u,1.736p,72.5272727071,94.3537458457,42427.4046623,39.0368227192,0.0
3.883u,420.255n,6.911u,210.240n,10.672u,375.033n,291.548u,272.631n,41.754u,203.093n,14.693u,2.185p,65.717738499,90.622515588,19318.1264061,39.0620602522,0.0
16.829u,420.253n,24.857u,496.641n,19.196u,430.734n,350.780u,489.002n,17.612u,490.062n,15.006u,1.864p,60.7054405998,90.9229464837,10848.8262564,39.0565292235,0.0
18.743u,356.870n,15.097u,334.297n,5.026u,497.856n,122.561u,300.030n,63.242u,251.654n,25.646u,2.289p,78.6532490879,91.2864674421,85658.66055,38.9983737076,0.0
10.335u,468.309n,25.471u,192.830n,22.443u,225.203n,243.974u,259.750n,99.340u,506.407n,16.459u,2.521p,71.0563805877,90.4875027376,35713.4521251,38.9943697454,0.0
17.511u,228.554n,23.850u,417.133n,3.013u,193.011n,157.062u,484.475n,122.130u,505.665n,13.753u,2.293p,77.06213769,93.0399882908,71394.3453082,38.9523208412,0.0
8.319u,470.875n,17.162u,503.911n,6.937u,222.512n,111.432u,428.315n,18.757u,507.769n,21.025u,0.972p,73.5917986253,91.5578698662,47810.9590721,38.8906652507,0.0
4.890u,305.855n,26.031u,226.908n,11.440u,226.245n,254.546u,396.906n,135.254u,303.931n,21.352u,0.559p,85.1405172692,121.447777838,211625.306901,38.8100900368,0.0
18.270u,371.477n,26.698u,515.076n,16.032u,297.018n,205.099u,444.962n,63.389u,203.851n,13.272u,1.426p,84.918039912,92.4464796038,175871.316801,38.6622922789,0.0
17.015u,392.403n,13.312u,357.692n,12.950u,361.668n,242.015u,393.959n,32.522u,192.606n,10.531u,2.386p,72.8762888746,90.6158351668,44036.8569247,38.9722608147,0.0
5.362u,516.886n,20.142u,306.011n,18.717u,219.143n,334.734u,204.840n,58.732u,184.052n,19.985u,2.199p,63.5537853603,99.6153953319,15271.6984512,39.0705089238,0.0
14.364u,446.619n,19.893u,212.725n,21.219u,485.786n,153.349u,360.879n,109.537u,246.416n,11.217u,2.540p,71.1781752982,98.4369063062,36614.7916057,39.0134147533,0.0
16.344u,495.221n,16.476u,405.819n,15.593u,400.168n,224.485u,338.415n,131.390u,269.993n,25.578u,0.498p,94.1503781733,94.8553460042,510035.726948,38.6055079111,0.0
2.391u,328.894n,14.340u,353.197n,21.292u,383.824n,76.478u,195.312n,69.013u,362.941n,14.199u,1.848p,71.1663504513,91.2637149044,36170.1904633,38.9577864137,0.0
16.199u,466.756n,21.261u,387.601n,14.109u,382.826n,279.002u,393.464n,135.009u,430.367n,16.042u,1.768p,82.8106582343,90.9171125944,138134.187149,38.8738512554,0.0
7.173u,232.827n,5.839u,330.158n,2.118u,382.579n,280.498u,364.087n,53.879u,323.805n,14.815u,1.692p,82.9050467534,90.2399349289,139705.028166,38.9617648058,0.0
6.913u,461.595n,10.490u,235.175n,23.156u,305.550n,143.063u,373.198n,29.975u,410.965n,27.551u,1.037p,70.420416556,91.5489574714,33201.003131,38.9913352969,0.0
16.222u,302.150n,27.678u,276.318n,20.982u,510.552n,120.491u,466.441n,47.791u,216.423n,23.468u,0.643p,89.2470754182,102.54138216,294765.927327,38.3545332492,0.0
19.133u,285.355n,24.189u,371.675n,4.140u,230.150n,354.036u,225.437n,126.513u,440.991n,16.279u,2.485p,83.6552742397,90.143506987,152302.139722,38.958985718,0.0
22.225u,493.927n,27.021u,227.969n,18.074u,380.817n,336.141u,463.169n,42.431u,365.173n,18.375u,2.885p,77.8666059851,92.2893650567,78236.3362334,38.8582493047,0.0
17.255u,472.202n,13.789u,350.442n,16.849u,469.145n,284.461u,249.591n,80.237u,236.928n,12.887u,1.594p,77.9871643167,90.6766192381,79312.1244374,38.986164752,0.0
15.495u,266.418n,3.415u,220.539n,11.825u,459.393n,274.924u,344.836n,134.219u,194.864n,10.980u,1.883p,84.151099176,90.2496202043,161223.122544,38.9223926495,0.0
16.413u,455.457n,18.682u,376.266n,13.750u,512.699n,153.188u,474.387n,139.635u,281.499n,14.288u,2.542p,70.7465689439,92.6450600666,34499.9568514,39.0388691505,0.0
10.560u,507.086n,12.925u,488.511n,21.438u,402.011n,34.881u,469.682n,91.747u,420.587n,21.039u,1.338p,76.3929539466,91.9332943347,65998.190861,38.8416445445,0.0
13.958u,373.277n,12.729u,279.920n,21.537u,296.852n,33.242u,406.144n,122.158u,235.354n,26.505u,1.921p,69.68178238,93.4993778937,30544.9974441,39.027771718,0.0
5.594u,196.126n,24.857u,303.447n,9.909u,448.198n,238.386u,328.854n,108.417u,360.058n,10.122u,1.367p,79.2490678571,90.6482990198,91700.9064224,38.9348683228,0.0
3.903u,474.685n,22.859u,501.251n,8.687u,336.995n,246.830u,198.085n,37.509u,265.848n,26.846u,1.951p,67.7746664213,90.7237710105,24478.7872988,39.063243167,0.0
13.536u,233.372n,23.013u,484.169n,15.684u,454.188n,191.658u,256.110n,109.801u,383.851n,18.155u,0.596p,96.6338135817,91.8492774973,668658.015607,38.0445190987,0.0
20.704u,262.318n,27.564u,386.009n,12.063u,376.099n,134.110u,205.762n,21.884u,469.955n,25.244u,1.762p,75.9614719281,91.3409784307,62822.6976915,38.9451074198,0.0
23.510u,300.327n,9.863u,471.915n,9.596u,399.118n,258.282u,452.033n,142.101u,338.121n,25.010u,2.333p,85.3825003212,90.243558263,185768.159856,38.9190099791,0.0
8.477u,502.723n,20.434u,494.077n,8.379u,423.156n,127.217u,187.518n,66.061u,224.570n,13.909u,2.436p,74.9908454308,90.278952684,56172.4811846,39.0122304183,0.0
3.033u,290.687n,20.232u,234.913n,6.273u,216.080n,331.920u,409.551n,43.093u,298.951n,22.357u,0.858p,87.2546636949,90.1920855621,229969.320474,38.6788563848,0.0
13.324u,406.513n,13.545u,333.618n,9.658u,338.186n,43.057u,194.571n,29.254u,517.192n,11.699u,1.270p,80.3924186144,92.9231906962,103986.683692,38.3608213218,0.0
